id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names,step_id,step_description
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Start,Start,s1, Start
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Configuration,Configuration,s2, Configuration
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Condition,Check Type of Indicator,s3, Check Type of Indicator
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Block IP,s4, Block IP
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Block Domain,s5, Block Domain
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Block File Hash,s6, Block File Hash
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Block URL,s7, Block URL
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Block Email Address,s8, Block Email Address
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,,Playbook execution,Isolate Host,s9, Isolate Host
p1,Fortinet,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,cyops_utilities,Connector,Do Nothing,s10,cyops_utilities Do Nothing
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Note about AV Scan,s11, Note about AV Scan
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Add Note,s12, Add Note
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,Take Snapshot and clean the Asset,s13, Take Snapshot and clean the Asset
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,Approval Bring Asset in network back,s14, Approval Bring Asset in network back
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User input,Clean Asset Again,s15, Clean Asset Again
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Add Note For Clean Asset,s16, Add Note For Clean Asset
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Condition,Check If we found any Malicious Indicator,s17, Check If we found any Malicious Indicator
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User input,Assest Isolation Task,s18, Assest Isolation Task
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,Take decision on Snapshot,s19, Take decision on Snapshot
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,Bring Asset Back in the Network,s20, Bring Asset Back in the Network
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Add Note For Snapshot,s21, Add Note For Snapshot
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,API call,Update Record with Rescan details,s22, Update Record with Rescan details
