,id,step_id,vendor,playbook_name,playbook_description,step_names,step_types,step_description,actuator
0,p1,s1,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,starts,Start, starts,
0,p1,s2,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,configurations,Configuration, configurations,
0,p1,s3,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,checks Type of Indicator,Condition, checks Type of Indicator,
0,p1,s4,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks IP,Playbook execution, blocks IP,
0,p1,s5,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks Domain,Playbook execution, blocks Domain,
0,p1,s6,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks File Hash,Playbook execution, blocks File Hash,
0,p1,s7,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks URL,Playbook execution, blocks URL,
0,p1,s8,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks Email Address,Playbook execution, blocks Email Address,
0,p1,s9,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,isolates Host,Playbook execution, isolates Host,
0,p1,s10,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,dos Nothing,Connector,cyops_utilities dos Nothing,cyops_utilities
1,p2,s11,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes about AV Scan,Manual task, notes about AV Scan,
1,p2,s12,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note,Manual task, adds Note,
1,p2,s13,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",takes Snapshot and clean the Asset,User decision, takes Snapshot and clean the Asset,
1,p2,s14,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",approvals Bring Asset in network back,User decision, approvals Bring Asset in network back,
1,p2,s15,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",cleans Asset Again,User input, cleans Asset Again,
1,p2,s16,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note For Clean Asset,Manual task, adds Note For Clean Asset,
1,p2,s17,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",checks If we found any Malicious Indicator,Condition, checks If we found any Malicious Indicator,
1,p2,s18,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",assests Isolation Task,User input, assests Isolation Task,
1,p2,s19,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",takes decision on Snapshot,User decision, takes decision on Snapshot,
1,p2,s20,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",brings Asset Back in the Network,User decision, brings Asset Back in the Network,
1,p2,s21,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note For Snapshot,Manual task, adds Note For Snapshot,
1,p2,s22,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",updates Record with Rescan details,API call, updates Record with Rescan details,
1,p2,s23,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",cleans Assest,User decision, cleans Assest,
1,p2,s24,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes for Manual Task,Manual task, notes for Manual Task,
1,p2,s25,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes about AV sacn,Manual task, notes about AV sacn,
1,p2,s26,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",avs Scan,User decision, avs Scan,
2,p3,s29,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",marks as TBD,API call, marks as TBD,
2,p3,s30,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",adds note to Indicator,Manual task, adds note to Indicator,
2,p3,s31,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",marks as Blocked,API call, marks as Blocked,
2,p3,s32,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",manuals Task to Action,User decision, manuals Task to Action,
3,p4,s36,FortiSOAR,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.",creates Domain Indicator _ Deduplicated,Manual task, creates Domain Indicator _ Deduplicated,
3,p4,s37,FortiSOAR,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.",links Indicator On Triggered Record,Connector,cyops_utilities links Indicator On Triggered Record,cyops_utilities
4,p5,s40,FortiSOAR,Action - Domain - Unblock (Indicator),"Unblocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Unblocked"" based on its block status.",marks as Unblocked,API call, marks as Unblocked,
5,p6,s47,FortiSOAR,Action - Domain - Unblock (Specified by User),"Creates indicator for the domain name specified by the user, unblocks the domain on the firewall, and also marks the status of the indicator as ‘Unblocked’. The indicator is also linked to the record on which the playbook is triggered.",unblocks Domain,Playbook execution, unblocks Domain,
13,p14,s86,FortiSOAR,Action - File - Unblock (Specified by User),"Creates indicators for the file specified by the user, unblocks the file on the firewall, and also mark the status of the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks File,Playbook execution, unblocks File,
15,p16,s94,FortiSOAR,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates File MD5 Indicator _ Deduplicated,Manual task, creates File MD5 Indicator _ Deduplicated,
15,p16,s96,FortiSOAR,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",blocks File MD5,Playbook execution, blocks File MD5,
16,p17,s101,FortiSOAR,Action - File MD5 - Unblock (Specified by User),"Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks File MD5,Playbook execution, unblocks File MD5,
19,p20,s114,FortiSOAR,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",blocks Host,Playbook execution, blocks Host,
19,p20,s115,FortiSOAR,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates Host Indicator _ Deduplicated,Manual task, creates Host Indicator _ Deduplicated,
20,p21,s119,FortiSOAR,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.",marks as Isolated,API call, marks as Isolated,
20,p21,s120,FortiSOAR,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.",marks TBD,API call, marks TBD,
22,p23,s133,FortiSOAR,Action - Host - Unblock (Specified by User),"Creates indicators for the host specified by the user, unblocks the host on the firewall, and also marks the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks Host,Playbook execution, unblocks Host,
23,p24,s137,FortiSOAR,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,qurantines Endpoint,Connector,FortiSOAR-forticlient-ems qurantines Endpoint,FortiSOAR-forticlient-ems
23,p24,s138,FortiSOAR,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,adds Note to Alert,Manual task, adds Note to Alert,
24,p25,s143,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,blocks IP Address,Connector,fortigate-firewall blocks IP Address,fortigate-firewall
24,p25,s144,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,blocks IP,User decision, blocks IP,
24,p25,s145,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,isolates Host,Connector,FortiSOAR-fortiedr isolates Host,FortiSOAR-fortiedr
24,p25,s146,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,updates Record,API call, updates Record,
24,p25,s148,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,adds note to Alerts,Manual task, adds note to Alerts,
26,p27,s155,FortiSOAR,Action - IP Address - Block (Specified by User),"Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates IP Indicator _ Deduplicated,Manual task, creates IP Indicator _ Deduplicated,
26,p27,s156,FortiSOAR,Action - IP Address - Block (Specified by User),"Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.",blocks IP Address,Playbook execution, blocks IP Address,
28,p29,s168,FortiSOAR,Action - IP Address - Unblock (Specified by User),"Creates indicators for the specified 'IP Address', unblocks the IP address on the firewall, and marks the indicators as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks IP Address,Playbook execution, unblocks IP Address,
30,p31,s177,FortiSOAR,Action - URL - Block (Specified by User),"Creates indicators for the specified 'URL', blocks the URL on the firewall, and marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates URL Indicator _ Deduplicated,Manual task, creates URL Indicator _ Deduplicated,
32,p33,s186,FortiSOAR,Action - URL - Unblock (Specified by User),"Creates indicators for the specified 'URL', unblocks the URL on the firewall, and marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks URL,Playbook execution, unblocks URL,
33,p34,s189,FortiSOAR,Activate Inactive Users - Update User Status,This is a subroutine playbook to update the user status as active,actives Users Status,Connector,cyops_utilities actives Users Status,cyops_utilities
33,p34,s190,FortiSOAR,Activate Inactive Users - Update User Status,This is a subroutine playbook to update the user status as active,updates Active Users,Connector,cyops_utilities updates Active Users,cyops_utilities
34,p35,s193,FortiSOAR,Activate Inactive Users,Find the Inactive users and activate them,finds Inactive Users,Query/filter task, finds Inactive Users,
34,p35,s194,FortiSOAR,Activate Inactive Users,Find the Inactive users and activate them,activates Users,Playbook execution, activates Users,
35,p36,s195,FortiSOAR,Add Attacker Tag to Indicator (FortiDeceptor),Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.,finds Attacker IP,Query/filter task, finds Attacker IP,
35,p36,s196,FortiSOAR,Add Attacker Tag to Indicator (FortiDeceptor),Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.,adds Tag to Indicator and Update Reputation,API call, adds Tag to Indicator and Update Reputation,
36,p37,s198,FortiSOAR,Add Note for Communication Linked (Received),Adds a note stating a new communication that was received has been linked to alert.,gets Related Records,Configuration, gets Related Records,
37,p38,s205,FortiSOAR,Add Note for Communication Linked,Adds a note stating a new communication has been linked to alert.,news Record Linked,Condition, news Record Linked,
37,p38,s207,FortiSOAR,Add Note for Communication Linked,Adds a note stating a new communication has been linked to alert.,nos New Record,Configuration, nos New Record,
38,p39,s208,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",adds URL to Excluded URL List,Configuration, adds URL to Excluded URL List,
38,p39,s209,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",adds Domain to Excluded Domains List,Configuration, adds Domain to Excluded Domains List,
38,p39,s212,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",adds Indicator to Exclude List,API call, adds Indicator to Exclude List,
38,p39,s213,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",updates Excluded IPs List,Connector,cyops_utilities updates Excluded IPs List,cyops_utilities
38,p39,s214,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",updates Excluded Domains List,Connector,cyops_utilities updates Excluded Domains List,cyops_utilities
38,p39,s215,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",adds IP to Excluded IP List,Configuration, adds IP to Excluded IP List,
38,p39,s216,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",updates Excluded Urls,Connector,cyops_utilities updates Excluded Urls,cyops_utilities
