playbook_id;step_id;vendor;playbook_name;playbook_description;step_names;step_types;step_description;actuator;action;artifact;automation
p1;s1;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;starts;Start;Platform starts;Platform;start;workflow;1
p1;s2;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;configurations;Configuration;Platform configurations;Platform;configure;workflow;1
p1;s3;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;checks Type of Indicator;Condition;Platform checks Type of Indicator;Platform;check;type of indicator;1
p1;s4;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;blocks IP;Playbook execution;Platform blocks IP;Platform;block;IP;1
p1;s5;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;blocks Domain;Playbook execution;Platform blocks Domain;Platform;block;domain;1
p1;s6;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;blocks File Hash;Playbook execution;Platform blocks File Hash;Platform;block;file hash;1
p1;s7;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;blocks URL;Playbook execution;Platform blocks URL;Platform;block;URL;1
p1;s8;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;blocks Email Address;Playbook execution;Platform blocks Email Address;Platform;block;Email address;1
p1;s9;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;isolates Host;Playbook execution;Platform isolates Host;Platform;isolate;host;1
p1;s10;FortiSOAR;Action (Type All) - Block Indicators;Blocks all types of indicators on the firewall based on their block status.;dos Nothing;Connector;cyops_utilities dos Nothing;cyops_utilities;do;nothing;1
p2;s11;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;notes about AV Scan;Manual task;Platform notes about AV Scan;Human;add;AV scan note;0
p2;s12;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;adds Note;Manual task;Platform adds Note;Human;add;note;0
p2;s13;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;takes Snapshot and clean the Asset;User decision;Platform takes Snapshot and clean the Asset;Human;decide;snapshots;0
