action,artifact
access,"['platform ips', 'URL', 'admin share', 'asset vulnerability ids', 'asset cves', 'content', 'admin share', 'content']"
acknowledge,"['incident', 'alert', 'request', 'request', 'command', 'quarantine state', 'quarantine state', 'email', 'incident', 'request', 'request', 'quarantine state', 'email', 'incident']"
activate,"['users', 'user', 'logging']"
add,"['AV scan note', 'note', 'note', 'snapshot note', 'note', 'AV scan note', 'indicator note', 'alert note', 'alert note', 'indicator tag', 'clossure note', 'not change note', 'status notes', 'running process list note', 'file detonation note', 'detonate file note', 'reference', 'note', 'note', 'note', 'comment', 'link campaign note', 'note', 'user', 'reactivate comment', 'user', 'issue comment', 'chat logs', 'user', 'id', 'conversation file id', 'user group', 'object', 'comment', 'remediation prompt', 'behavior', 'comment', 'prompts', 'IP', 'case comment', 'case comment', 'hash', 'case', 'case', 'case status', 'exclusion', 'dummy vaccination', 'url indicator', 'ip indicator', 'minemelds', 'miner', 'comment ticket', 'link ticket', 'tags', 'security label', 'group tag', 'timestamp', 'blocklist', 'URL', 'fields', 'field', 'history field', 'email fields', 'field', 'fail flag', 'additional data', 'additional data', 'falco baseline metadata', 'reporter field', 'subnet column', 'regex', 'domain object', 'blocking policy', 'blocking policy', 'rule', 'rule loop', 'rules', 'rule', 'rule', 'year', 'host', 'host', 'host', 'host', 'host', 'host', 'host', 'object', 'host', 'host action', 'host action', 'CVE', 'malicious URL', 'watched domains', 'spam', 'header', 'malicious', 'header', 'malicious', 'spam', 'legitimate', 'legitimate', 'spam metric', 'metric', 'metric', 'metric', 'URL blacklist', 'URL blacklist', 'hashes', 'URL', 'domains', 'IPs', 'ad user', 'memory table row', 'artifact', 'domain artifact', 'list', 'general insight', 'case tag', 'comment', 'list', 'note', 'note', 'note', 'bash script', 'note', 'artifact', 'comment', 'not found comment', 'reset field', 'risk recovery workbook', 'risk response workbook', 'risk investigation playbook', 'workbook', 'import data note', 'enricht note', 'note', 'note', 'block note', 'protect note', 'error note', 'list item', 'artifact', 'notes', 'tag', 'tag', 'tag', 'tag', 'tag', 'padding', 'attribute', 'file protection state', 'file protection attribute', 'file related attribute', 'network insight enrichment attribute', 'JSON attribute', 'network protection state attribute', 'JSON attribute', 'description', 'campaign description', 'document description', 'email description', 'incident description', 'signature description', 'threat description', 'adversary source', 'campaign source', 'document source', 'email source', 'incident source', 'signature source', 'threat source', 'adversary aa&c', 'campaign aa&c', 'document aa&c', 'email aa&c', 'incident aa&c', 'signature aa&c', 'threat aa&c', 'adversary tag', 'campaign tag', 'document tag', 'email tag', 'incident tag', 'signature tag', 'threat tag', 'polyswarm attributes', 'screenshot data', 'first seen status', 'first seen status', 'threat status', 'threat type', 'threat name', 'verdict', 'URL heading data', 'sample id', 'submission id', 'threatconnect attribute', 'IP deny list', 'hash', 'hash', 'file', 'source IP', 'file hash', 'host IP', 'file hash', 'original email', 'big CIDRs', 'tld wildcards', 'internal IP', 'internal domains', 'internal CIDRs', 'md5 tag', 'sha1 tag', 'sha256 tag', 'hash tag', 'business partner tag', 'tag', 'risk', 'data', 'system mac', 'system mac', 'rule', 'email address', 'domain url', 'file', 'ip', 'domain url', 'blocked sender email', 'file hash', 'suspicious ip', 'enrichment data', 'business justification', 'auto business justification', 'business justification', 'event details', 'tag', 'tag', ' domain', 'consolidated domain push list', 'blocklist url', 'action comment', 'sender condition', 'ioc', 'note', 'sender', 'mst user list', 'daily digest sender', 'file hash', 'virustotal result', 'file hash', 'file hast', 'system user id', 'system user id', 'threat intel db comment', 'ip not found comment', 'ip not found tag', 'ip not found tag', 'ip ioc tag', 'unexpected output comment', 'ip query error tag', 'ioc', 'ioc added comment', 'unexpected output comment', 'query error tag', 'added ip tag', 'found ip tag', 'comment', 'tag', 'digest email ip', 'push list ip', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'alert note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'note', 'note', 'issue comment', 'id', 'user group', 'user group', 'issue comment', 'issue comment', 'object', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'IP', 'object', 'case comment', 'case comment', 'hash', 'miner', 'miner', 'miner', 'field', 'field', 'field', 'field', 'field', 'field', 'field', 'additional data', 'reporter field', 'domain object', 'rule', 'year', 'year', 'host', 'host', 'host', 'host', 'host', 'host', 'object', 'host action', 'CVE', 'watched domains', 'watched domains', 'ad user', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'list', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'comment', 'list item', 'note', 'list item', 'list item', 'note', 'note', 'comment', 'comment', 'comment', 'comment', 'comment', 'note', 'comment', 'note', 'note', 'comment', 'comment', 'comment', 'note', 'comment', 'list', 'list item', 'reset field', 'risk recovery workbook', 'import data note', 'enricht note', 'artifact', 'artifact', 'artifact', 'artifact', 'comment', 'comment', 'comment', 'comment', 'note', 'notes', 'list', 'list', 'list item', 'attribute', 'file related attribute', 'network insight enrichment attribute', 'attribute', 'JSON attribute', 'network protection state attribute', 'incident tag', 'polyswarm attributes', 'sample id', 'submission id', 'hash', 'file hash', 'host IP', 'file hash', 'original email', 'original email', 'md5 tag', 'sha1 tag', 'business partner tag', 'business partner tag', 'business partner tag', 'tag', 'tag', 'rule', 'email address', 'rule', 'domain url', 'file', 'file hash', 'enrichment data', 'business justification', 'business justification', 'ioc', 'note', 'sender', 'mst user list', 'daily digest sender', 'business justification', 'business justification', 'virustotal result', 'file hash', 'system user id', 'added ip tag', 'push list ip']"
aggregate,"['baseline output', 'rows', 'NAT destination', 'destination', 'destination', 'URLs', 'rule name', 'username', 'username']"
alert,"['indicator data', 'user', 'conversation', 'source port', 'destination port', 'destination subnet', 'source subnet', 'statistics', 'baseline', 'consolidates', 'details', 'user', 'consolidates', 'consolidates']"
allow,"['url', 'network system', 'url']"
alternate,['identifiers']
analyze,"['domain', 'url', 'file', 'url', 'file hash', 'virus ip address', 'file', 'network traffic', 'network traffic', 'case', 'file', 'url', 'file hash', 'case']"
analyze/contain,"['incident activity', 'incident activity', 'incident activity', 'incident activity', 'incident activity']"
annotate,"['text', 'sharing ioc', 'ioc block allow confict', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text']"
append,"['results', 'CSV file', 'domain blocklist', 'ip blocklist', 'URL blocklist', 'case comment', 'list', 'data', 'IP context list', 'IP context list', 'IPs', 'CIDR tag', 'TLD wildcard', 'EDL tag', 'EDL tag', 'black tag', 'white tag', 'watch list tag', 'digest info', 'ioc', 'ioc', 'ioc', 'domain block list', 'domain white list', 'URL blocklist', 'list', 'IP context list', 'CIDR tag', 'digest info']"
apply,"['block policy', 'file scorer', 'cve policy', 'test patch', 'block policy', 'block policy']"
approve,"['exception request', 'exception', 'vulnerability sync batch', 'exception', 'indicator email', 'sharing data set', 'rebuild', 'reinstall', 'restoration', 'exception request', 'indicator email', 'indicator email', 'rebuild', 'reinstall', 'restoration']"
archive,"['timer', 'channel', 'submitter profile']"
ask,"['criticality tag', 'details', 'purge']"
assert,"['alert', 'machine', 'machine', 'alert', 'query results']"
assess,"['severity', 'C&C communication history', 'file history', 'unusual activity']"
assign,"['user', 'user license', 'tag', 'instance', 'incident', 'incident', 'personnel', 'analyst', 'user', 'instance', 'incident', 'analyst']"
associate,"['indicator', 'group attribute', 'indicator', 'group', 'indicator', 'indicator sample', 'indicators', 'incident', 'indicator sample', 'indicators', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident']"
attach,"['denyall policy', 'report', 'denyall policy', 'new ebs root volume', 'new ebs root volume']"
attempt,['restoration']
authenticate,"['email', 'email']"
authorize,['senders']
await,"['playbook', 'playbook', 'automated test completion', 'block timelimit', 'playbook']"
ban,"['hash', 'hash', 'hash', 'hash', 'IP', 'hashes', 'IP']"
begin,"['revoke session', 'revoke session']"
blacklist,"['hash', 'hash', 'hash', 'MS5 hash', 'indicator', 'indicator', 'indicator', 'url', 'hash', 'hash', 'MS5 hash', 'indicator', 'indicator']"
block,"['IP', 'domain', 'file hash', 'URL', 'Email address', 'file MD5', 'host', 'IP address', 'IP address', 'user', 'user', 'IP', 'ip', 'conversation', 'source port', 'destination port', 'destination subnet', 'source subnet', 'IP', 'IP', 'sender', 'iocs', 'outbound emails', 'hash', 'domain account', 'domain account', 'ip address', 'IP', 'host', 'indicator', 'sender', 'domain', 'domain', 'outbound', 'inbound', 'sender', 'sender', 'ip access', 'ip', 'ip', 'domain', 'url', 'outbound traffic', 'traffic', 'ip', 'domain', 'ip', 'hash', 'domain', 'IP', 'ip', 'IP', 'IP', 'IP', 'IP', 'IP', 'IP', 'URLs', 'email', 'domain url', 'ip', 'ip', 'domain url', 'domain url', 'file', 'email', 'domain', 'domain', 'ip', 'ip', 'domain', 'Email address', 'Email address', 'URL', 'domain account', 'domain account', 'IP', 'host', 'indicator', 'inbound', 'sender', 'ip', 'hash', 'domain', 'ip', 'ip', 'ip', 'ip', 'outbound traffic', 'traffic', 'hash', 'hash', 'url', 'domain', 'hash', 'ip', 'hash', 'ip', 'ip', 'hash', 'ip', 'hash', 'ip', 'url', 'ip', 'ip', 'url', 'domain', 'ip', 'ip', 'hash', 'ip', 'ip', 'ip', 'hash', 'hash', 'ip', 'ip', 'url', 'hash', 'ip', 'URLs', 'domain url', 'ip', 'domain', 'ip']"
break,"['loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'snapmirror relationship', 'loop', 'iterator', 'loop', 'workflow', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'iterator', 'loop', 'iterator']"
broadcast,['alert']
build,"['results', 'malicious results', 'known good results', 'clean results', 'error results', 'verdict', 'knowngood results', 'scan results', 'user array', 'conversation', 'results', 'detection', 'array', 'alert description', 'notes string', 'verdict', 'verdict', 'error results', 'user array', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'notes string']"
calculate,"['Ack SLA', 'response SLA', 'priority weight', 'scores', 'minimum case date', 'levenshtein', 'historical rules', 'total reports', 'total scans', 'total domain reports', 'ip reports', 'votes', 'date difference', 'start time', 'timestamp', 'time', 'vulnerability risk', 'mission risk', 'ioc risk score', 'priority weight', 'Ack SLA', 'response SLA', 'total scans', 'ip reports', 'total scans', 'ip reports', 'votes', 'votes', 'date difference', 'date difference', 'date difference', 'date difference', 'date difference', 'date difference', 'vulnerability risk']"
call,"['table', 'api', 'playbook', 'api', 'api', 'playbook']"
capture,['tags']
catch,['ticket']
change,"['case status', 'case status', 'disabled computers', 'priority', 'case name', 'formatting', 'delimiter', 'block allow list', 'disabled computers', 'priority', 'priority', 'priority', 'priority', 'priority', 'priority', 'delimiter']"
