type;action;artifact
4;access;['platform ips', 'URL', 'admin share', 'asset vulnerability ids', 'asset cves', 'content']
1;acknowledge;['incident', 'alert', 'request', 'request', 'command', 'quarantine state', 'quarantine state', 'email', 'incident', 'request', 'request', 'request', 'request', 'request', 'command', 'email', 'incident']
5;activate;['users', 'user', 'logging']
3;add;['AV scan note', 'note', 'note', 'snapshot note', 'note', 'AV scan note', 'indicator note', 'alert note', 'alert note', 'indicator tag', 'clossure note', 'not change note', 'status notes', 'running process list note', 'file detonation note', 'detonate file note', 'reference', 'note', 'note', 'note', 'comment', 'link campaign note', 'note', 'user', 'reactivate comment', 'user', 'issue comment', 'chat logs', 'user', 'id', 'conversation file id', 'user group', 'object', 'comment', 'remediation prompt', 'behavior', 'comment', 'prompts', 'IP', 'case comment', 'case comment', 'hash', 'case', 'case', 'case status', 'exclusion', 'dummy vaccination', 'url indicator', 'ip indicator', 'minemelds', 'miner', 'comment ticket', 'link ticket', 'tags', 'security label', 'group tag', 'timestamp', 'blocklist', 'URL', 'fields', 'field', 'history field', 'email fields', 'field', 'fail flag', 'additional data', 'additional data', 'falco baseline metadata', 'reporter field', 'subnet column', 'regex', 'domain object', 'blocking policy', 'blocking policy', 'rule', 'rule loop', 'rules', 'rule', 'rule', 'year', 'host', 'host', 'host', 'host', 'host', 'host', 'host', 'object', 'host', 'host action', 'host action', 'CVE', 'malicious URL', 'watched domains', 'spam', 'header', 'malicious', 'header', 'malicious', 'spam', 'legitimate', 'legitimate', 'spam metric', 'metric', 'metric', 'metric', 'URL blacklist', 'URL blacklist', 'hashes', 'URL', 'domains', 'IPs', 'ad user', 'memory table row', 'artifact', 'domain artifact', 'list', 'general insight', 'case tag', 'comment', 'list', 'list item', 'note', 'artifact', 'note', 'note', 'note', 'not found comment', 'reset field', 'risk recovery workbook', 'risk response workbook', 'risk investigation playbook', 'workbook', 'import data note', 'enricht note', 'note', 'note', 'block note', 'protect note', 'error note', 'artifact', 'comment', 'notes', 'tag', 'tag', 'tag', 'tag', 'tag', 'padding', 'attribute', 'file protection state', 'file protection attribute', 'file related attribute', 'network insight enrichment attribute', 'JSON attribute', 'network protection state attribute', 'JSON attribute', 'description', 'campaign description', 'document description', 'email description', 'incident description', 'signature description', 'threat description', 'adversary source', 'campaign source', 'document source', 'email source', 'incident source', 'signature source', 'threat source', 'adversary aa&c', 'campaign aa&c', 'document aa&c', 'email aa&c', 'incident aa&c', 'signature aa&c', 'threat aa&c', 'adversary tag', 'campaign tag', 'document tag', 'email tag', 'incident tag', 'signature tag', 'threat tag', 'polyswarm attributes', 'screenshot data', 'first seen status', 'first seen status', 'threat status', 'threat type', 'threat name', 'verdict', 'URL heading data', 'sample id', 'submission id', 'threatconnect attribute', 'IP deny list', 'hash', 'hash', 'file', 'source IP', 'file hash', 'host IP', 'file hash', 'original email', 'big CIDRs', 'tld wildcards', 'internal IP', 'internal domains', 'internal CIDRs', 'md5 tag', 'sha1 tag', 'sha256 tag', 'hash tag', 'business partner tag', 'tag', 'risk', 'data', 'system mac', 'system mac', 'rule', 'email address', 'domain url', 'file', 'ip', 'domain url', 'blocked sender email', 'file hash', 'suspicious ip', 'enrichment data', 'business justification', 'auto business justification', 'business justification', 'event details', 'tag', 'tag', ' domain', 'consolidated domain push list', 'blocklist url', 'action comment', 'sender condition', 'ioc', 'note', 'sender', 'mst user list', 'daily digest sender', 'file hash', 'virustotal result', 'file hash', 'file hast', 'system user id', 'system user id', 'threat intel db comment', 'ip not found comment', 'ip not found tag', 'ip not found tag', 'ip ioc tag', 'unexpected output comment', 'ip query error tag', 'ioc', 'ioc added comment', 'unexpected output comment', 'query error tag', 'added ip tag', 'found ip tag', 'comment', 'tag', 'digest email ip', 'push list ip', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'alert note', 'indicator note', 'indicator note', 'indicator note', 'indicator note', 'note', 'note', 'issue comment', 'id', 'user group', 'user group', 'issue comment', 'issue comment', 'object', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'issue comment', 'IP', 'object', 'case comment', 'case comment', 'hash', 'miner', 'miner', 'miner', 'field', 'fields', 'field', 'field', 'field', 'field', 'additional data', 'reporter field', 'rule', 'rules', 'rule loop', 'year', 'host', 'host', 'host', 'host', 'host', 'host', 'object', 'host action', 'CVE', 'watched domains', 'ad user', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'memory table row', 'list', 'list', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'general insight', 'case tag', 'case tag', 'comment', 'list item', 'list item', 'list item', 'list item', 'note', 'note', 'comment', 'comment', 'comment', 'comment', 'comment', 'note', 'comment', 'comment', 'comment', 'note', 'note', 'note', 'comment', 'comment', 'comment', 'comment', 'comment', 'comment', 'list', 'comment', 'note', 'list', 'list item', 'risk recovery workbook', 'note', 'note', 'workbook', 'workbook', 'artifact', 'artifact', 'artifact', 'comment', 'comment', 'comment', 'note', 'note', 'list', 'list', 'list item', 'attribute', 'polyswarm attributes', 'original email', 'internal domains', 'business partner tag', 'business partner tag', 'tag', 'rule', 'rule', 'business justification', 'business justification', 'business justification', 'business justification']
2;aggregate;['baseline output', 'rows', 'NAT destination', 'destination', 'destination', 'URLs', 'rule name', 'username', 'username']
3;alert;['indicator data', 'user', 'conversation', 'source port', 'destination port', 'destination subnet', 'source subnet', 'statistics', 'baseline', 'consolidates', 'details', 'user', 'consolidates', 'consolidates']
5;allow;['url', 'network system']
4,2;alternate;['identifiers', 'identifiers']
4;analyze;['domain', 'url', 'file', 'url', 'file hash', 'virus ip address', 'file', 'network traffic', 'network traffic', 'case', 'url', 'file hash', 'case', 'case']
4;analyze/contain;['incident activity', 'incident activity', 'incident activity', 'incident activity', 'incident activity']
