index,id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names
0,p1,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,"['Subroutine', 'Mitigation']",10,"['', '', '', '', '', '', '', '', '', 'cyops_utilities']","['Start', 'Configuration', 'Condition', 'Playbook execution', 'Playbook execution', 'Playbook execution', 'Playbook execution', 'Playbook execution', 'Playbook execution', 'Connector']","['Start', 'Configuration', 'Check Type of Indicator', 'Block IP', 'Block Domain', 'Block File Hash', 'Block URL', 'Block Email Address', 'Isolate Host', 'Do Nothing']"
1,p2,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Manual task', 'Manual task', 'User decision', 'User decision', 'User input', 'Manual task', 'Condition', 'User input', 'User decision', 'User decision', 'Manual task', 'API call', 'User decision', 'Manual task', 'Manual task', 'User decision', 'Start']","['Note about AV Scan', 'Add Note', 'Take Snapshot and clean the Asset', 'Approval Bring Asset in network back', 'Clean Asset Again', 'Add Note For Clean Asset', 'Check If we found any Malicious Indicator', 'Assest Isolation Task', 'Take decision on Snapshot', 'Bring Asset Back in the Network', 'Add Note For Snapshot', 'Update Record with Rescan details', 'Clean Assest', 'Note for Manual Task', 'Note about AV sacn', 'AV Scan', 'Start']"
2,p3,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Start', 'API call', 'Manual task', 'API call', 'User decision', 'Configuration']","['Start', 'Mark as TBD', 'Add note to Indicator', 'Mark as Blocked', 'Manual Task to Action', 'Configuration']"
3,p4,FortiSOAR,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', '', 'cyops_utilities']","['Playbook execution', 'Start', 'Manual task', 'Connector']","['Block Domain', 'Start', 'Create Domain Indicator _ Deduplicated', 'Link Indicator On Triggered Record']"
4,p5,FortiSOAR,Action - Domain - Unblock (Indicator),"Unblocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Unblocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Manual task', 'Start', 'API call', 'User decision', 'Configuration', 'API call']","['Add note to Indicator', 'Start', 'Mark as Unblocked', 'Manual Task to Action', 'Configuration', 'Mark as TBD']"
5,p6,FortiSOAR,Action - Domain - Unblock (Specified by User),"Creates indicator for the domain name specified by the user, unblocks the domain on the firewall, and also marks the status of the indicator as ‘Unblocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', 'cyops_utilities', '', '']","['Start', 'Connector', 'Manual task', 'Playbook execution']","['Start', 'Link Indicator On Triggered Record', 'Create Domain Indicator _ Deduplicated', 'Unblock Domain']"
6,p7,FortiSOAR,Action - Email Address - Block (Indicator),"Blocks the indicators of type 'Email Address' on the firewall and marks indicator as ""Blocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Start', 'API call', 'API call', 'User decision', 'Manual task', 'Configuration']","['Start', 'Mark as TBD', 'Mark as Blocked', 'Manual Task to Action', 'Add note to Indicator', 'Configuration']"
7,p8,FortiSOAR,Action - Email Address - Block (Specified by User),"Creates indicator for the email address specified by the user, blocks the email on the firewall, and marks the status of the indicator as ‘Blocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', '', 'cyops_utilities']","['Playbook execution', 'Start', 'Manual task', 'Connector']","['Block Email Address', 'Start', 'Create Domain Indicator _ Deduplicated', 'Link Indicator On Triggered Record']"
8,p9,FortiSOAR,Action - Email Address - Unblock (Indicator),"Unblocks the indicators of type 'Email Address' on the firewall and mark indicator as ""Unblocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['User decision', 'Start', 'API call', 'Manual task', 'API call', 'Configuration']","['Manual Task to Action', 'Start', 'Mark as TBD', 'Add note to Indicator', 'Mark as Unblocked', 'Configuration']"
9,p10,FortiSOAR,Action - Email Address - Unblock (Specified by User),"Creates indicators for the email address specified by the user, unblocks the email on the firewall, and also marks the status of the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['cyops_utilities', '', '', '']","['Connector', 'Start', 'Manual task', 'Playbook execution']","['Link Indicator On Triggered Record', 'Start', 'Create Domain Indicator _ Deduplicated', 'Unblock Domain']"
10,p11,FortiSOAR,Action - File - Block (Indicator),"Blocks the indicators of type 'File' on the firewall and marks the indicator as ""Blocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'User decision', 'Manual task', 'Start', 'API call', 'Configuration']","['Mark as Blocked', 'Manual Task to Action', 'Add note to Indicator', 'Start', 'Mark as TBD', 'Configuration']"
11,p12,FortiSOAR,Action - File - Block (Specified by User),"Creates indicators for the file specified by the user, blocks the file on the firewall and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['cyops_utilities', '', '', '']","['Connector', 'Playbook execution', 'Start', 'Manual task']","['Link Indicator On Triggered Record', 'Block Email Address', 'Start', 'Create Domain Indicator _ Deduplicated']"
12,p13,FortiSOAR,Action - File - Unblock (Indicator),"Unblocks the indicators of type 'File' on the firewall and marks the indicator as ""Unblocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Start', 'Manual task', 'API call', 'API call', 'User decision', 'Configuration']","['Start', 'Add note to Indicator', 'Mark as Unblocked', 'Mark as TBD', 'Manual Task to Action', 'Configuration']"
13,p14,FortiSOAR,Action - File - Unblock (Specified by User),"Creates indicators for the file specified by the user, unblocks the file on the firewall, and also mark the status of the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['cyops_utilities', '', '', '']","['Connector', 'Manual task', 'Playbook execution', 'Start']","['Link Indicator On Triggered Record', 'Create Domain Indicator _ Deduplicated', 'Unblock File', 'Start']"
14,p15,FortiSOAR,Action - File MD5 - Block (Indicator),"Blocks the indicators of type 'Filehash' on the firewall and marks the indicator as ""Blocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'Configuration', 'User decision', 'API call', 'Manual task', 'Start']","['Mark as TBD', 'Configuration', 'Manual Task to Action', 'Mark as Blocked', 'Add note to Indicator', 'Start']"
15,p16,FortiSOAR,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', '', 'cyops_utilities']","['Manual task', 'Start', 'Playbook execution', 'Connector']","['Create File MD5 Indicator _ Deduplicated', 'Start', 'Block File MD5', 'Link Indicator On Triggered Record']"
16,p17,FortiSOAR,Action - File MD5 - Unblock (Specified by User),"Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', 'cyops_utilities', '', '']","['Start', 'Connector', 'Manual task', 'Playbook execution']","['Start', 'Link Indicator On Triggered Record', 'Create File MD5 Indicator  _ Deduplicated', 'Unblock File MD5']"
17,p18,FortiSOAR,Action - File MD5- Unblock (Indicator),"Unblocks the indicators of type 'Filehash' on the firewall and marks the indicator as ""Unblocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'API call', 'Start', 'User decision', 'Configuration', 'Manual task']","['Mark as Unblocked', 'Mark as TBD', 'Start', 'Manual Task to Action', 'Configuration', 'Add note to Indicator']"
18,p19,FortiSOAR,Action - Host - Block (Indicator),"Blocks indicators of type 'Host' on the firewall and marks the indicator as ""Blocked"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Start', 'Manual task', 'User decision', 'API call', 'API call', 'Configuration']","['Start', 'Add note to Indicator', 'Manual Task to Action', 'Mark as TBD', 'Mark as Blocked', 'Configuration']"
19,p20,FortiSOAR,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', '', 'cyops_utilities']","['Playbook execution', 'Manual task', 'Start', 'Connector']","['Block Host', 'Create Host Indicator _ Deduplicated', 'Start', 'Link Indicator On Triggered Record']"
20,p21,FortiSOAR,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['User decision', 'API call', 'API call', 'Manual task', 'Configuration', 'Start']","['Manual Task to Action', 'Mark as Isolated', 'Mark TBD', 'Add note to Indicator', 'Configuration', 'Start']"
21,p22,FortiSOAR,Action - Host - Unblock (Indicator),"Unblocks indicators of type 'Host' on the firewall and marks the indicators as ""Unblocked"" based on their block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'API call', 'Manual task', 'User decision', 'Configuration', 'Start']","['Mark as Unblocked', 'Mark as TBD', 'Add note to Indicator', 'Manual Task to Action', 'Configuration', 'Start']"
22,p23,FortiSOAR,Action - Host - Unblock (Specified by User),"Creates indicators for the host specified by the user, unblocks the host on the firewall, and also marks the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', 'cyops_utilities', '', '']","['Manual task', 'Connector', 'Start', 'Playbook execution']","['Create Host Indicator _ Deduplicated', 'Link Indicator On Triggered Record', 'Start', 'Unblock Host']"
23,p24,FortiSOAR,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,"['ManualAction', 'Mitigation']",5,"['', '', '', 'FortiSOAR-forticlient-ems', '']","['Configuration', 'Start', 'Manual task', 'Connector', 'Manual task']","['Configuration', 'Start', 'Add note to Indicator', 'Qurantine Endpoint', 'Add Note to Alert']"
24,p25,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,"['', '', '', '', 'fortigate-firewall', '', 'FortiSOAR-fortiedr', '', '', '']","['Configuration', 'API call', 'Start', 'Manual task', 'Connector', 'User decision', 'Connector', 'API call', 'Manual task', 'Manual task']","['Configuration', 'Mark as Blocked', 'Start', 'Add note to Indicator', 'Block IP Address', 'Block IP', 'Isolate Host', 'Update Record', 'Add Note to Alert', 'Add note to Alerts']"
25,p26,FortiSOAR,Action - IP Address - Block (Indicator),"Blocks indicators of type 'IP Address' on the firewall and marks the indicators as ""Blocked"" based on their  block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Configuration', 'API call', 'Start', 'Manual task', 'User decision', 'API call']","['Configuration', 'Mark as Blocked', 'Start', 'Add note to Indicator', 'Manual Task to Action', 'Mark as TBD']"
26,p27,FortiSOAR,Action - IP Address - Block (Specified by User),"Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', 'cyops_utilities', '']","['Manual task', 'Playbook execution', 'Connector', 'Start']","['Create IP Indicator _ Deduplicated', 'Block IP Address', 'Link Indicator On Triggered Record', 'Start']"
27,p28,FortiSOAR,Action - IP Address - Unblock (Indicator),"Unblocks indicators of type 'IP Address' on the firewall and marks the indicator as ""Unblocked"" based on their block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'User decision', 'API call', 'Configuration', 'Manual task', 'Start']","['Mark as TBD', 'Manual Task to Action', 'Mark as Unblocked', 'Configuration', 'Add note to Indicator', 'Start']"
28,p29,FortiSOAR,Action - IP Address - Unblock (Specified by User),"Creates indicators for the specified 'IP Address', unblocks the IP address on the firewall, and marks the indicators as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['cyops_utilities', '', '', '']","['Connector', 'Manual task', 'Start', 'Playbook execution']","['Link Indicator On Triggered Record', 'Create IP Indicator _ Deduplicated', 'Start', 'Unblock IP Address']"
29,p30,FortiSOAR,Action - URL - Block (Indicator),"Blocks indicators of type 'URL' on the firewall and marks the indicators as ""Blocked"" based on their block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['API call', 'Configuration', 'Manual task', 'User decision', 'Start', 'API call']","['Mark as TBD', 'Configuration', 'Add note to Indicator', 'Manual Task to Action', 'Start', 'Mark as Blocked']"
30,p31,FortiSOAR,Action - URL - Block (Specified by User),"Creates indicators for the specified 'URL', blocks the URL on the firewall, and marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['cyops_utilities', '', '', '']","['Connector', 'Playbook execution', 'Manual task', 'Start']","['Link Indicator On Triggered Record', 'Block URL', 'Create URL Indicator _ Deduplicated', 'Start']"
31,p32,FortiSOAR,Action - URL - Unblock (Indicator),"Unblocks indicators of type 'URL' on the firewall and marks the indicators as ""Unblocked"" based on their block status.","['ManualAction', 'Mitigation']",6,"['', '', '', '', '', '']","['Manual task', 'Start', 'API call', 'API call', 'User decision', 'Configuration']","['Add note to Indicator', 'Start', 'Mark as TBD', 'Mark as Unblocked', 'Manual Task to Action', 'Configuration']"
32,p33,FortiSOAR,Action - URL - Unblock (Specified by User),"Creates indicators for the specified 'URL', unblocks the URL on the firewall, and marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,"['', '', 'cyops_utilities', '']","['Manual task', 'Playbook execution', 'Connector', 'Start']","['Create URL Indicator _ Deduplicated', 'Unblock URL', 'Link Indicator On Triggered Record', 'Start']"
33,p34,FortiSOAR,Activate Inactive Users - Update User Status,This is a subroutine playbook to update the user status as active,['Subroutine'],3,"['cyops_utilities', 'cyops_utilities', '']","['Connector', 'Connector', 'Start']","['Active Users Status', 'Update Active Users', 'Start']"
34,p35,FortiSOAR,Activate Inactive Users,Find the Inactive users and activate them,"['ManualTrigger', 'Alerts']",3,"['', '', '']","['Start', 'Query/filter task', 'Playbook execution']","['Start', 'Find Inactive Users', 'Activate Users']"
35,p36,FortiSOAR,Add Attacker Tag to Indicator (FortiDeceptor),Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.,['PostUpdate'],3,"['', '', '']","['Query/filter task', 'API call', 'Start']","['Find Attacker IP', 'Add Tag to Indicator and Update Reputation', 'Start']"
36,p37,FortiSOAR,Add Note for Communication Linked (Received),Adds a note stating a new communication that was received has been linked to alert.,"['system', 'create']",4,"['', '', '', '']","['Configuration', 'Configuration', 'Manual task', 'Start']","['Get Related Records', 'Configuration', 'Add Note', 'Start']"
37,p38,FortiSOAR,Add Note for Communication Linked,Adds a note stating a new communication has been linked to alert.,"['system', 'PostUpdate']",6,"['', '', '', '', '', '']","['Start', 'Configuration', 'Configuration', 'Condition', 'Manual task', 'Configuration']","['Start', 'Configuration', 'Get Related Records', 'New Record Linked', 'Add Note', 'No New Record']"
38,p39,FortiSOAR,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,"['', '', '', '', '', 'cyops_utilities', 'cyops_utilities', '', 'cyops_utilities']","['Configuration', 'Configuration', 'Condition', 'Start', 'API call', 'Connector', 'Connector', 'Configuration', 'Connector']","['Add URL to Excluded URL List', 'Add Domain to Excluded Domains List', 'Check Type of Indicator', 'Start', 'Add Indicator to Exclude List', 'Update Excluded IPs List', 'Update Excluded Domains List', 'Add IP to Excluded IP List', 'Update Excluded Urls']"
39,p40,FortiSOAR,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,['PostUpdate'],4,"['', '', '', '']","['Start', 'User decision', 'Manual task', 'Manual task']","['Start', 'Close SIEM Alert', 'Add Clossure note', 'Add No Change Note']"
40,p41,FortiSOAR,Alert - Disable Specific User,Disables the specified User Account from the Active Directory.,['ManualAction'],3,"['', 'activedirectory', '']","['Start', 'Connector', 'Manual task']","['Start', 'Block a User within a Windows Active Directory', 'Add Status Notes']"
41,p42,FortiSOAR,Alert - Escalate to Incident (Link Relations),This playbook will extract related records and assign to incident created,['system'],3,"['', '', '']","['Start', 'Configuration', 'Configuration']","['Start', 'Get Related Records', 'Return Related Records']"
42,p43,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,"['', '', '', '', '', '', '', '']","['Playbook execution', 'Start', 'Manual task', 'API call', 'Configuration', 'Configuration', 'Configuration', 'Manual task']","['Get Related Records', 'Start', 'Insert Comment', 'Set Escalate Status on Alert', 'Set Playbook Result', 'Get Unique Related Records', 'Consolidate Related Records', 'Insert One Incident_Many_to_One']"
43,p44,FortiSOAR,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,"['system', 'SystemWaitForCompletion']",4,"['', 'cyops_utilities', '', '']","['Configuration', 'Connector', 'Playbook execution', 'Start']","['Set Incident Lead Teams', 'Get Incident Lead Teams', 'Reference escalate playbook', 'Start']"
44,p45,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,"['', '', '', 'cyops_utilities', '', '', '', 'cyops_utilities']","['Start', 'Configuration', 'Condition', 'Connector', 'API call', 'Condition', 'API call', 'Connector']","['Start', 'Configuration', 'Check For Ack Violation', 'Do Nothing', 'Set Ack SLA Missed', 'Check Response Violation', 'Set Response SLA Missed', 'No Action Needed']"
45,p46,FortiSOAR,Alert - Set Assigned Date (upon creation),Update Assigned Date when Person is assigned to Alert,['system'],2,"['', '']","['Start', 'API call']","['Start', 'Set Assigned Date']"
46,p47,FortiSOAR,Alert - Set Assigned Date (upon reassignment),Update Assigned Date when Person is assigned to Alert,['system'],2,"['', '']","['Start', 'API call']","['Start', 'Set Assigned Date']"
47,p48,FortiSOAR,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",['system'],4,"['', '', '', '']","['Start', 'API call', 'Script', 'Condition']","['Start', 'Update Resolved Date', 'No Operations', 'Check Status is Closed']"
48,p49,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,"['', '', '', '', 'slacalculator', 'slacalculator', 'cyops_utilities']","['Condition', 'Start', 'Playbook execution', 'API call', 'Connector', 'Connector', 'Connector']","['Verify SLA Details', 'Start', 'GET SLA', 'Update SLA', 'Calculate Ack SLA', 'Calculate Resp SLA', 'No SLA Details Fetched']"
49,p50,FortiSOAR,Alert - [01] Capture All SLA (Upon Create),Updates the alert's acknowledgement due date and response due date based on the alert’s severity.,"['system', 'SLA', 'PostCreate']",2,"['', '']","['Start', 'Playbook execution']","['Start', 'Update SLA']"
50,p51,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,"['', '', '', '', '', '', '', '', 'slacalculator', '']","['Start', 'Condition', 'Condition', 'API call', 'API call', 'Playbook execution', 'Condition', 'API call', 'Connector', 'API call']","['Start', 'Status Check for Ack SLA', 'Check Acknowledge SLA Status', 'Set Acknowledge SLA as Missed', 'Set Acknowledge SLA as Met', 'Get SLA Details', 'Check Current Status To Pause SLA', 'Pause Ack SLA', 'Recalculate Ack SLA', 'Resume Ack SLA']"
51,p52,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,"['', '', '', '', '', '', '', '', 'slacalculator', '']","['Playbook execution', 'Start', 'API call', 'Condition', 'Condition', 'Condition', 'API call', 'API call', 'Connector', 'API call']","['Get SLA Details', 'Start', 'Pause Response SLA', 'Check Current Status To Pause SLA', 'Status Check for Response SLA', 'Check Response SLA Status', 'Set Response SLA as Met', 'Set Response SLA as Missed', 'Recalculate Response SLA', 'Resume Response SLA']"
52,p53,FortiSOAR,Alert - [04] Check for SLA violations,Checks periodically for violations of acknowledgement SLA of the open alerts.,"['system', 'SLA', 'Scheduled']",3,"['', '', '']","['Query/filter task', 'Playbook execution', 'Start']","['Fetch Open Alert', 'Update SLA Status', 'Start']"
53,p54,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,"['system', 'PostUpdate', 'SLA']",13,"['', '', '', '', 'slacalculator', 'slacalculator', 'slacalculator', 'slacalculator', '', '', '', '', 'cyops_utilities']","['Start', 'Playbook execution', 'Condition', 'API call', 'Connector', 'Connector', 'Connector', 'Connector', 'Condition', 'API call', 'API call', 'API call', 'Connector']","['Start', 'GET Current SLA', 'Verify SLA Details', 'Update Reset Ack SLA', 'Reset Ack SLA', 'Reset Resp SLA', 'Set Ack SLA', 'Set Resp SLA', 'Check SLA Reset Flag', 'Update Set Ack SLA', 'Update Set Resp SLA', 'Update Reset Resp SLA', 'No SLA Details Fetched']"
54,p55,FortiSOAR,AlienValut OTX - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using AlienValut OTX.,['Subroutine'],5,"['', '', 'alienvault-otx', 'cyops_utilities', '']","['Configuration', 'Start', 'Connector', 'Connector', 'Configuration']","['Configurations', 'Start', 'Get Reputation from AlienVault OTX', 'Compute AV OTX Summary', 'enrichment_summary']"
55,p56,FortiSOAR,AlienValut OTX - IP Reputation,Retrieves the reputation of indicators of type 'IP Address' using AlienValut OTX.,['Subroutine'],5,"['', 'alienvault-otx', '', '', 'cyops_utilities']","['Start', 'Connector', 'Configuration', 'Configuration', 'Connector']","['Start', 'Get Reputation from AlienVault OTX', 'enrichment_summary', 'Configuration', 'Compute AV OTX Summary']"
56,p57,FortiSOAR,AlienValut OTX - URL Reputation,Retrieves the reputation of indicators of type 'URL' using AlienValut OTX.,['Subroutine'],5,"['', '', 'alienvault-otx', '', 'cyops_utilities']","['Configuration', 'Start', 'Connector', 'Configuration', 'Connector']","['Configurations', 'Start', 'Get Reputation from AlienVault OTX', 'enrichment_summary', 'Compute AV OTX Summary']"
57,p58,FortiSOAR,AlienVault-OTX - Domain Reputation,Retrieves the reputation of indicators of type 'Domain' using AlienValut OTX.,['Subroutine'],5,"['alienvault-otx', '', '', '', 'cyops_utilities']","['Connector', 'Configuration', 'Start', 'Configuration', 'Connector']","['Get Reputation from AlienVault OTX', 'enrichment_summary', 'Start', 'Configurations', 'Compute AV OTX Summary']"
