,id,step_id,vendor,playbook_name,playbook_description,step_names,step_types,step_description,actuator
0,p1,s1,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,starts,Start,Platform starts,Platform
0,p1,s2,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,configurations,Configuration,Platform configurations,Platform
0,p1,s3,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,checks Type of Indicator,Condition,Platform checks Type of Indicator,Platform
0,p1,s4,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks IP,Playbook execution,Platform blocks IP,Platform
0,p1,s5,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks Domain,Playbook execution,Platform blocks Domain,Platform
0,p1,s6,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks File Hash,Playbook execution,Platform blocks File Hash,Platform
0,p1,s7,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks URL,Playbook execution,Platform blocks URL,Platform
0,p1,s8,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,blocks Email Address,Playbook execution,Platform blocks Email Address,Platform
0,p1,s9,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,isolates Host,Playbook execution,Platform isolates Host,Platform
0,p1,s10,FortiSOAR,Action (Type All) - Block Indicators,Blocks all types of indicators on the firewall based on their block status.,dos Nothing,Connector,cyops_utilities dos Nothing,cyops_utilities
1,p2,s11,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes about AV Scan,Manual task,Platform notes about AV Scan,Platform
1,p2,s12,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note,Manual task,Platform adds Note,Platform
1,p2,s13,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",takes Snapshot and clean the Asset,User decision,Platform takes Snapshot and clean the Asset,Platform
1,p2,s14,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",approvals Bring Asset in network back,User decision,Platform approvals Bring Asset in network back,Platform
1,p2,s15,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",cleans Asset Again,User input,Platform cleans Asset Again,Platform
1,p2,s16,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note For Clean Asset,Manual task,Platform adds Note For Clean Asset,Platform
1,p2,s17,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",checks If we found any Malicious Indicator,Condition,Platform checks If we found any Malicious Indicator,Platform
1,p2,s18,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",assests Isolation Task,User input,Platform assests Isolation Task,Platform
1,p2,s19,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",takes decision on Snapshot,User decision,Platform takes decision on Snapshot,Platform
1,p2,s20,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",brings Asset Back in the Network,User decision,Platform brings Asset Back in the Network,Platform
1,p2,s21,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",adds Note For Snapshot,Manual task,Platform adds Note For Snapshot,Platform
1,p2,s22,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",updates Record with Rescan details,API call,Platform updates Record with Rescan details,Platform
1,p2,s23,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",cleans Assest,User decision,Platform cleans Assest,Platform
1,p2,s24,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes for Manual Task,Manual task,Platform notes for Manual Task,Platform
1,p2,s25,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",notes about AV sacn,Manual task,Platform notes about AV sacn,Platform
1,p2,s26,FortiSOAR,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.",avs Scan,User decision,Platform avs Scan,Platform
2,p3,s29,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",marks as TBD,API call,Platform marks as TBD,Platform
2,p3,s30,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",adds note to Indicator,Manual task,Platform adds note to Indicator,Platform
2,p3,s31,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",marks as Blocked,API call,Platform marks as Blocked,Platform
2,p3,s32,FortiSOAR,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.",manuals Task to Action,User decision,Platform manuals Task to Action,Platform
3,p4,s36,FortiSOAR,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.",creates Domain Indicator _ Deduplicated,Manual task,Platform creates Domain Indicator _ Deduplicated,Platform
3,p4,s37,FortiSOAR,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.",links Indicator On Triggered Record,Connector,cyops_utilities links Indicator On Triggered Record,cyops_utilities
4,p5,s40,FortiSOAR,Action - Domain - Unblock (Indicator),"Unblocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Unblocked"" based on its block status.",marks as Unblocked,API call,Platform marks as Unblocked,Platform
5,p6,s47,FortiSOAR,Action - Domain - Unblock (Specified by User),"Creates indicator for the domain name specified by the user, unblocks the domain on the firewall, and also marks the status of the indicator as ‘Unblocked’. The indicator is also linked to the record on which the playbook is triggered.",unblocks Domain,Playbook execution,Platform unblocks Domain,Platform
13,p14,s86,FortiSOAR,Action - File - Unblock (Specified by User),"Creates indicators for the file specified by the user, unblocks the file on the firewall, and also mark the status of the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks File,Playbook execution,Platform unblocks File,Platform
15,p16,s94,FortiSOAR,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates File MD5 Indicator _ Deduplicated,Manual task,Platform creates File MD5 Indicator _ Deduplicated,Platform
15,p16,s96,FortiSOAR,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",blocks File MD5,Playbook execution,Platform blocks File MD5,Platform
16,p17,s101,FortiSOAR,Action - File MD5 - Unblock (Specified by User),"Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks File MD5,Playbook execution,Platform unblocks File MD5,Platform
19,p20,s114,FortiSOAR,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",blocks Host,Playbook execution,Platform blocks Host,Platform
19,p20,s115,FortiSOAR,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.",creates Host Indicator _ Deduplicated,Manual task,Platform creates Host Indicator _ Deduplicated,Platform
20,p21,s119,FortiSOAR,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.",marks as Isolated,API call,Platform marks as Isolated,Platform
20,p21,s120,FortiSOAR,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.",marks TBD,API call,Platform marks TBD,Platform
22,p23,s133,FortiSOAR,Action - Host - Unblock (Specified by User),"Creates indicators for the host specified by the user, unblocks the host on the firewall, and also marks the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.",unblocks Host,Playbook execution,Platform unblocks Host,Platform
23,p24,s137,FortiSOAR,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,qurantines Endpoint,Connector,FortiSOAR-forticlient-ems qurantines Endpoint,FortiSOAR-forticlient-ems
23,p24,s138,FortiSOAR,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,adds Note to Alert,Manual task,Platform adds Note to Alert,Platform
24,p25,s143,FortiSOAR,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,blocks IP Address,Connector,fortigate-firewall blocks IP Address,fortigate-firewall
